"Ensimmäinen luku","Toinen luku","Kolmas luku","Neljäs luku","Viides luku","Satunnainen valinta","Toinen satunnainen valinta","Kolikonheitto [1. heitto]","Kolikonheitto [2. heitto]","Kolikonheitto [3. heitto]","Kolikonheitto [4. heitto]","Kolikonheitto [5. heitto]","Kolikonheitto [6. heitto]","Arvaa noutajan paino","Arvaa lähimmäs keskiarvoa","Vaihtoehto B","Matematiikan käyttö","Kätisyytesi","Kengännumero"
"1","2","3","4","5","3","1;2;3;4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","40","56","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Vasen","39"
"16","6","9","10","11","1","2;3;4","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Klaava","20","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","36"
"18","12","1","12","1","2","1;2;3;4","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","28","30","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","39"
"13","5","6","19","3","3","1","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","37","44","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","43"
"5","11","18","17","6","3","1;2","Klaava","Klaava","Klaava","Kruuna","Klaava","Kruuna","42","20","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"18","1","10","2","13","1","3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","53","58","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"17","12","3","16","10","1","1;2","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","25","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","38"
"3","17","1","8","12","3","2;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","28","10","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Molemmat","41"
"7","3","6","4","10","4","2;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","37","25","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Molemmat","39"
"4","4","4","4","4","4","4","Klaava","Klaava","Klaava","Klaava","Klaava","Klaava","4","4","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","42"
"4","13","18","5","7","3","1;3;4","Kruuna","Klaava","Kruuna","Kruuna","Klaava","Kruuna","32","0","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","44"
"12","17","3","6","0","3","1;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","35","42","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","43"
"5","3","8","12","16","2","2","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","Klaava","42","30","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Oikea","41"
"3","6","7","17","10","3","1;2","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","26","33","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","36"
"5","7","2","3","19","2","1;2;3;4","Klaava","Klaava","Klaava","Kruuna","Klaava","Klaava","30","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Mitä se sinulle kuuluu?","38"
"1","2","3","4","5","3","2;3","Kruuna","Klaava","Kruuna","Kruuna","Klaava","Klaava","80","75","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"5","9","13","17","19","3","2;4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","45","33","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","40"
"2","17","19","15","4","2","3;4","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Klaava","27.8","1.2","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"19","0","18","17","5","4","1;2;3;4","Kruuna","Klaava","Klaava","Kruuna","Klaava","Kruuna","30","37","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","104"
